Waste,  Plant
1.2,  Plant 1
16.4,  Plant 2
12.1,  Plant 3
11.5,  Plant 4
24,  Plant 5
10.1,  Plant 1
-6,  Plant 2
9.7,  Plant 3
10.2,  Plant 4
-3.7,  Plant 5
-2,  Plant 1
-11.6,  Plant 2
7.4,  Plant 3
3.8,  Plant 4
8.2,  Plant 5
1.5,  Plant 1
-1.3,  Plant 2
-2.1,  Plant 3
8.3,  Plant 4
9.2,  Plant 5
-3,  Plant 1
4,  Plant 2
10.1,  Plant 3
6.6,  Plant 4
-9.3,  Plant 5
-0.7,  Plant 1
17,  Plant 2
4.7,  Plant 3
10.2,  Plant 4
8,  Plant 5
3.2,  Plant 1
3.8,  Plant 2
4.6,  Plant 3
8.8,  Plant 4
15.8,  Plant 5
2.7,  Plant 1
4.3,  Plant 2
3.9,  Plant 3
2.7,  Plant 4
22.3,  Plant 5
-3.2,  Plant 1
10.4,  Plant 2
3.6,  Plant 3
5.1,  Plant 4
3.1,  Plant 5
-1.7,  Plant 1
4.2,  Plant 2
9.6,  Plant 3
11.2,  Plant 4
16.8,  Plant 5
2.4,  Plant 1
8.5,  Plant 2
9.8,  Plant 3
5.9,  Plant 4
11.3,  Plant 5
0.3,  Plant 1
6.3,  Plant 2
6.5,  Plant 3
13,  Plant 4
12.3,  Plant 5
3.5,  Plant 1
9,  Plant 2
5.7,  Plant 3
6.8,  Plant 4
16.9,  Plant 5
-0.8,  Plant 1
7.1,  Plant 2
5.1,  Plant 3
14.5,  Plant 4
19.4,  Plant 1
4.3,  Plant 2
3.4,  Plant 3
5.2,  Plant 4
2.8,  Plant 1
19.7,  Plant 2
-0.8,  Plant 3
7.3,  Plant 4
13,  Plant 1
3,  Plant 2
-3.9,  Plant 3
7.1,  Plant 4
42.7,  Plant 1
7.6,  Plant 2
0.9,  Plant 3
3.4,  Plant 4
1.4,  Plant 1
70.2,  Plant 2
1.5,  Plant 3
0.7,  Plant 4
3,  Plant 1
8.5,  Plant 2
2.4,  Plant 1
6,  Plant 2
1.3,  Plant 1
2.9,  Plant 2
